StrongNumberX1	StrongNumberX2	Distance
H3289	H2803	0.741750265458608
H3289	H2162	0.785793630771913
H3289	H5046	0.779075085437162
H3289	H3947	0.827961499567277
H3289	H7760b	0.80682906320353
H3289	H5414	0.827908694108012
H3289	G4817	0.765227776359197
H3289	G1012	0.721397376605283
H3289	H5779	0.576213536384905
H3289	H2161	0.682701987176074
H3289	G4820	0.828921716152446
H3289	G1014	0.828622765304816
H3289	G4934	0.738629347895279
H3289	G3867	0.754763821813268
H3289	G1255	0.820305060728037
H3289	H2790	0.821950797961422
H3289	A3272	0.7271089196680089
H3289	H4209	0.819449114887182
H3289	H2094a	0.815962968745707
H3289	G2983	0.827994963775544
H3289	G1917	0.798056003708204
H3289	H4633	0.813322782216029
H3289	H3384b	0.80311419839952
H3289	H2665	0.781552371959812
H3289	H4156	0.810392434810204
H3289	G3004	0.78643363969416
H3289	H6250	0.7598254891056681
H3289	G4823	0.571580696156773
H3289	G1325	0.789341784364635
H3289	G4824	0.6750076260606021
H1628	H1450	0.792582417582418
H1628	H3747	0.822619047619048
H1628	H4732	0.814091915836102
H1628	H3849	0.807731694828469
H1628	H1553	0.818121693121693
H1628	H1526	0.823073945025165
H1628	H3643	0.6513140775435859
H1628	H3876	0.8260697032436159
H1628	H3694	0.812169312169312
H1628	H1542	0.763227513227513
G1200	G930	0.719444444444444
G1200	G5441	0.768398268398268
G1200	G4233	0.774404761904762
G1200	G5438	0.8157510996366421
G1200	H5470	0.71607872033404
G1200	G1201	0.816157308694622
G802	G569	0.818763842746401
G802	H7726	0.820075757575758
G802	H1285	0.796468359951353
G802	G1964	0.829722222222222
G3713	G2212	0.795699278812511
G3713	G1938	0.688047491723962
G3713	H7596a	0.76019385026738
G3713	H3807a	0.801303855356939
G3713	H7602	0.762682360742706
G3713	G4314	0.828067978332886
G3713	G154	0.780557520188609
G3713	H7596	0.822043807641634
G3713	G1934	0.741167081763478
G3713	G1939	0.760407605472227
G3713	G2442a	0.792545280224056
G3713	H8373	0.479984945609946
G3713	H5691	0.809388528138528
G3713	G1937	0.643235705616032
G3713	H413	0.8004142551744849
G3713	H2968	0.602285353535354
G3713	H3700	0.643130912491503
G3713	G4375	0.796045274170274
G3713	H3970	0.822916666666667
G3713	G1973	0.691121031746032
G3713	H183	0.535851673249764
G3713	G1974	0.64832179881522
G3713	G1014	0.8243634374684849
G3713	H8669	0.476385175282234
G3713	H8378	0.667094073976258
G3713	H752	0.80625
G3713	G5366	0.751242650384441
G3713	H6770	0.780936483478856
G3713	H1246	0.677206851119895
G3713	H2837	0.578778082549634
G3713	H3642	0.70848704435661
G3713	G866	0.821577380952381
G3713	G1971	0.5946540880503139
G3713	H6165	0.759014818389818
G3713	H5689	0.669908466213498
G3713	H2836	0.782963660362381
G3713	H2530	0.740592762091552
G3713	A7593	0.813916407666408
G3713	G155	0.730058258018784
G3713	H4180a	0.723546318447634
G3713	H8264a	0.738202499129223
G3713	H8375	0.568396464646465
G3713	G1972	0.712778540903541
H2073	G4633	0.818461170358217
H2073	H7900	0.645862193362193
H2073	G2731	0.80500730994152
H2073	G3772	0.8190847322142289
H2073	G1774	0.794471500721501
H2073	H5116	0.744624232634041
H2073	H7258	0.748113500806279
H2073	A7932	0.710763888888889
H2073	G4638	0.6915770609319
H2073	G3613	0.558531746031746
H2073	G4637	0.799866287094548
H2073	G1886	0.828079710144928
H2073	G2732	0.7261904761904761
H2073	H1755a	0.618260869565217
H2073	H7675	0.792824074074074
H2073	H5520	0.771282372598162
H2073	A4907	0.436111111111111
H2073	G2733	0.800801282051282
H2073	H4349	0.746160579616462
H2073	H5131	0.767574786324786
H2073	H4583	0.662149119224591
H2073	G2730	0.682208719752692
H2073	H4999	0.820235776128633
H2073	H7931	0.770186918827228
H2073	H4186	0.826544608096724
H2073	H2681	0.695833333333333
H2073	H4585	0.682395382395382
G1481	A6347	0.466370246933318
G1481	A324	0.519444444444445
G1481	H323	0.5598290598290599
G1481	G2232	0.441259194511536
G1481	H8660	0.719444444444444
G1481	G2230	0.445410906298003
G1481	A5460	0.829365079365079
G1481	H6346	0.646391374978176
G1481	A671a	0.809472934472934
G1481	A5632	0.738496412263536
G1481	A1169	0.747463768115942
G3623	G3616	0.779963680387409
G3623	H1489	0.736796286507202
G3623	G3622	0.709718949337644
G3623	A1490	0.750186910512997
G3623	H5532a	0.7172214873603761
G3623	G3621	0.5320100221696989
G3623	G2012	0.544755035364488
G3623	H4453	0.783004721927872
G3623	A1411	0.66169813205414
G3143	H5707	0.533066570449199
G3143	G3141	0.713645540619225
G3143	G4901	0.67207984096282
G3143	G4303	0.711742424242424
G3143	H7717	0.802734644582471
G3143	G2649	0.637348003123606
G3143	G4828	0.500439494794334
G3143	H5046	0.810422638778468
G3143	H6030	0.799710671238438
G3143	G5576	0.785463684270821
G3143	H5749a	0.6687842091941441
G3143	H5713	0.541297485726834
G3143	G3142	0.64510943575409
G3143	G1957	0.591089466089466
G3143	G3144	0.479930128332308
G3143	G5575a	0.779864311315924
G3143	G3140	0.507026732941367
G3143	G1263	0.57486086265156
H893	H1153	0.819444444444444
H893	H878	0.828758169934641
H893	H911	0.821145124716553
H893	H991	0.819444444444444
H893	H1221	0.828758169934641
H893	H917	0.819444444444444
H893	H3003	0.8217380224260959
H893	H3003a	0.8239898989898991
H893	H1388	0.825
H893	H984	0.819444444444444
H893	H1275	0.819444444444444
H893	H876	0.819444444444444
H893	H1106	0.8225025484199801
H893	H1298	0.819444444444444
H893	H1260	0.828758169934641
H893	H1108	0.820448460508701
H893	H1209	0.819444444444444
H893	H1194	0.819444444444444
H893	H1106a	0.805555555555556
H6949	G2022	0.793932748538012
H6949	H204	0.824528301886792
H6949	G2708	0.80884820747521
H6063	H6144	0.780448717948718
H6063	H146a	0.80906862745098
H6063	H647	0.8277777777777779
H6063	H609	0.819701646090535
H6063	H5735	0.815705128205128
H6063	H769	0.824033597272627
H6063	H5917	0.798352713178295
H6063	H719	0.81703995157385
H6063	H316	0.817602040816326
H6063	H5912	0.820906432748538
H6063	H277	0.822916666666667
H6063	H333	0.785526315789474
H6063	H806	0.828256302521008
H6063	H146	0.798352713178295
H6063	H5911	0.820977633477633
H6063	H617	0.798069105691057
H6063	H532	0.823412698412698
H6063	A144	0.804166666666667
H6063	H843	0.8125
H6063	H5664	0.808333333333333
H6063	H51	0.828256302521008
H6063	H777	0.798352713178295
H6063	H1893	0.816066066066066
H6063	H121a	0.823232323232323
H6063	H5755a	0.823412698412698
H6063	H836	0.807128099173554
H6063	H770	0.807638888888889
H6063	H6208	0.82306338028169
H6063	H757	0.816833333333333
H6063	H5907	0.8291666666666671
H6063	H5720	0.821581196581197
H6063	H714	0.806547619047619
H6063	H5335	0.829545454545455
H6063	H5269	0.738636363636364
H6063	H313	0.798069105691057
H6063	H301	0.823554421768708
H6063	H265	0.826388888888889
H6063	H538	0.823232323232323
H6063	H6326	0.823412698412698
H6063	H94	0.810339506172839
H6063	H716	0.808531746031746
H6063	H764	0.807789855072464
H6063	H6063a	0
H6063	H522	0.823611111111111
G1773	G1762	0.787387387387387
G1773	H1886a	0.692162110726699
G1773	G1726	0.797930283224401
G1773	H1242	0.753903307692823
G1773	G3380	0.688690476190476
G1773	G3721	0.69375
G1773	A6933	0.826680672268908
G1773	A8238	0.829775176514307
G1773	H371	0.813333333333333
G1773	A1b	0.791902473526388
G1773	G3588	0.792829569617483
G1773	H1966	0.796605149236728
G1773	G4250	0.827979066022544
G1773	G3764	0.817171717171717
G1773	G4405	0.788163163163163
G1773	H871a	0.772883860221233
G1773	G3768	0.758530743206224
G1773	G2714	0.746207497820401
G1773	H2962	0.771465448202815
G1773	G827	0.819166666666667
G1773	G3722	0.802298850574713
