xml:id	ref	role	class	type	english	mandarin	gloss	text	after	lemma	normalized	strong	morph	person	number	gender	case	tense	voice	mood	degree	domain	ln	frame	subjref	referent
n43017005006	JHN 17:5!6	aux	noun	common	father	父	Father	πάτερ	,	πατήρ	πάτερ	3962	N-VSM		singular	masculine	vocative					012001	12.12			
n43017005007	JHN 17:5!7		prep		in ~ presence	在~面前	with	παρὰ	 	παρά	παρὰ	3844	PREP									089020	89.111			
n43017005008	JHN 17:5!8		pron	personal	your	你自己	Yourself	σεαυτῷ	 	σεαυτοῦ	σεαυτῷ	4572	F-2DSM		singular	masculine	dative					092003	92.10			n43017005006
n43017005009	JHN 17:5!9		det		the	那	with the	τῇ	 	ὁ	τῇ	3588	T-DSF		singular	feminine	dative					092004	92.24			
n43017005010	JHN 17:5!10		noun	common	glory	荣耀	glory	δόξῃ	 	δόξα	δόξῃ	1391	N-DSF		singular	feminine	dative					087003	87.23			
n43017005011	JHN 17:5!11	o	pron	relative	that		that	ᾗ	 	ὅς	ᾗ	3739	R-DSF		singular	feminine	dative					092006	92.27			n43017005010
n43017005012	JHN 17:5!12	v	verb		had	有	I had	εἶχον	 	ἔχω	εἶχον	2192	V-IAI-1S	first	singular			imperfect	active	indicative		090013	90.65	A0:n43017001003 A1:n43017005011	n43017001003	
n43017005013	JHN 17:5!13		prep		before	在~以前	before	πρὸ	 	πρό	πρὸ	4253	PREP									067002	67.17			
n43017005014	JHN 17:5!14		det				-	τοῦ	 	ὁ	τοῦ	3588	T-GSN		singular	neuter	genitive					092004	92.24			
n43017005015	JHN 17:5!15		det		the		the	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n43017005016	JHN 17:5!16		noun	common	world	世界	world	κόσμον	 	κόσμος	κόσμον	2889	N-ASM		singular	masculine	accusative					001001	1.1			
n43017005017	JHN 17:5!17	v	verb		existed	存在	existed	εἶναι	 	εἰμί	εἶναι	1511	V-PAN					present	active	infinitive		013003	13.69	A0:n43017005016		
n43017005018	JHN 17:5!18		prep		with	同	with	παρὰ	 	παρά	παρὰ	3844	PREP									089020	89.111			
n43017005019	JHN 17:5!19		pron	personal	you	你	You	σοί	.	σύ	σοί	4671	P-2DS		singular		dative					092003	92.6			n43017005006
n43017006001	JHN 17:6!1	v	verb		manifested	显明	I revealed	Ἐφανέρωσά	 	φανερόω	Ἐφανέρωσά	5319	V-AAI-1S	first	singular			aorist	active	indicative		028003	28.36	A0:n43017001003 A1:n43017006004 A2:n43017006006	n43017001003	
n43017006002	JHN 17:6!2		pron	personal	your	你的	Your	σου	 	σύ	σου	4675	P-2GS		singular		genitive					092003	92.6			n43017005006
n43017006003	JHN 17:6!3		det				-	τὸ	 	ὁ	τὸ	3588	T-ASN		singular	neuter	accusative					092004	92.24			
n43017006004	JHN 17:6!4		noun	common	name	名	name	ὄνομα	 	ὄνομα	ὄνομα	3686	N-ASN		singular	neuter	accusative					033020	33.265			
n43017006005	JHN 17:6!5		det		the		to the	τοῖς	 	ὁ	τοῖς	3588	T-DPM		plural	masculine	dative					092004	92.24			
n43017006006	JHN 17:6!6		noun	common	men	人	men	ἀνθρώποις	 	ἄνθρωπος	ἀνθρώποις	444	N-DPM		plural	masculine	dative					009001	9.1			
n43017006007	JHN 17:6!7	o	pron	relative	whom		whom	οὓς	 	ὅς	οὓς	3739	R-APM		plural	masculine	accusative					092006	92.27			n43017006006
n43017006008	JHN 17:6!8	v	verb		gave	赐给	You have given	ἔδωκάς	 	δίδωμι	ἔδωκάς	1325	V-AAI-2S	second	singular			aorist	active	indicative		057008	57.71	A0:n43017005006 A1:n43017006007 A2:n43017006009	n43017005006	
n43017006009	JHN 17:6!9	io	pron	personal	me	我	Me	μοι	 	ἐγώ	μοι	3427	P-1DS		singular		dative					092001	92.1			n43017001003
n43017006010	JHN 17:6!10		prep		out of	从	out of	ἐκ	 	ἐκ	ἐκ	1537	PREP									089021	89.121			
n43017006011	JHN 17:6!11		det		the	这个	the	τοῦ	 	ὁ	τοῦ	3588	T-GSM		singular	masculine	genitive					092004	92.24			
n43017006012	JHN 17:6!12		noun	common	world	世上	world	κόσμου	.	κόσμος	κόσμου	2889	N-GSM		singular	masculine	genitive					009001	9.23			
n43017006013	JHN 17:6!13	p	pron	personal	yours	你的	Yours	σοὶ	 	σύ	σοὶ	4675	S-2SNPM		singular	masculine	dative					092003	92.6			n43017005006
n43017006014	JHN 17:6!14	vc	verb		were	是	they were	ἦσαν	 	εἰμί	ἦσαν	2258	V-IAI-3P	third	plural			imperfect	active	indicative		013001	13.1		n43017006006	
n43017006015	JHN 17:6!15	io	pron	personal	me	我	and to Me	κἀμοὶ	 	κἀγώ	κἀμοὶ	2504	P-1DS-K		singular		dative					092001	92.1			n43017001003
n43017006016	JHN 17:6!16	o	pron	personal	them	他们	them	αὐτοὺς	 	ἑαυτοῦ	αὐτοὺς	848	P-APM		plural	masculine	accusative					092004	92.11			n43017006006
n43017006017	JHN 17:6!17	v	verb		gave	赐给	You gave	ἔδωκας	,	δίδωμι	ἔδωκας	1325	V-AAI-2S	second	singular			aorist	active	indicative		057008	57.71	A0:n43017005006 A2:n43017006015 A1:n43017006016	n43017005006	
n43017006018	JHN 17:6!18		conj		and	也	and	καὶ	 	καί	καὶ	2532	CONJ									089015	89.87			
n43017006019	JHN 17:6!19		det		the		the	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n43017006020	JHN 17:6!20		noun	common	word	道	word	λόγον	 	λόγος	λόγον	3056	N-ASM		singular	masculine	accusative					033006	33.98			
n43017006021	JHN 17:6!21		pron	personal	your	你的	of You	σου	 	σύ	σου	4675	P-2GS		singular		genitive					092003	92.6			n43017005006
n43017006022	JHN 17:6!22	v	verb		kept	遵守	they have kept	τετήρηκαν	.	τηρέω	τετήρηκαν	5083	V-RAI-3P	third	plural			perfect	active	indicative		036003	36.19	A0:n43017006006 A1:n43017006020	n43017006006	
n43017007001	JHN 17:7!1	adv	adv		now	现在	Now	νῦν	 	νῦν	νῦν	3568	ADV									067002	67.38			
n43017007002	JHN 17:7!2	v	verb		know	知道	they have known	ἔγνωκαν	 	γινώσκω	ἔγνωκαν	1097	V-RAI-3P	third	plural			perfect	active	indicative		028001	28.1	A0:n43017006006	n43017006006	
n43017007003	JHN 17:7!3		conj		that		that	ὅτι	 	ὅτι	ὅτι	3754	CONJ									090006	90.21			
n43017007004	JHN 17:7!4		adj		everything	一切	all things	πάντα	 	πᾶς	πάντα	3956	A-NPN		plural	neuter	nominative					059003	59.23			
n43017007005	JHN 17:7!5	o	pron	relative	that	所~的	whatever	ὅσα	 	ὅσος	ὅσα	3745	K-APN		plural	neuter	accusative					059001	59.7			
