chapter_number,placement_before_verse,verse_id,text,pdf_page,printed_page,bbox,bbox_normalized,later_edition_candidates_same_verse,exact_match_to_later_edition
2,282,2:282,Write Down Monetary Transactions,44,32,"[445.0, 297.274, 1161.009, 350.939]","[0.261765, 0.109898, 0.682947, 0.129737]",Write Down Financial Transactions,False
2,282,2:282,Make No Distinction Among the Prophets,44,32,"[379.0, 1841.603, 1210.994, 1892.199]","[0.222941, 0.680814, 0.712349, 0.699519]",Write Down Financial Transactions,False
3,23,3:23,The Danger of Ignorance,47,35,"[653.0, 307.822, 1152.998, 356.812]","[0.384118, 0.113546, 0.678234, 0.131616]",,False
3,29,3:29,Do Not Befriend Disbelievers,47,35,"[611.0, 1175.822, 1189.989, 1224.812]","[0.359412, 0.433723, 0.699993, 0.451793]",,False
3,23,3:23,The Prophet Preaches Quran*,47,35,"[599.0, 1886.421, 1207.75, 1938.575]","[0.352353, 0.69584, 0.710441, 0.715077]",,False
3,33,3:33,The Family of Imran,48,36,"[601.0, 448.603, 1007.01, 499.199]","[0.353529, 0.165781, 0.592359, 0.184479]",The Birth of Mary,False
3,35,3:35,Mary,48,36,"[747.0, 743.903, 859.998, 787.516]","[0.439412, 0.274909, 0.505881, 0.291026]",,False
3,38,3:38,John,48,36,"[751.0, 1451.143, 854.997, 1495.757]","[0.441765, 0.536269, 0.502939, 0.552756]",The Birth of John,False
3,42,3:42,Jesus,48,36,"[739.0, 2103.67, 856.999, 2148.907]","[0.434706, 0.777409, 0.504117, 0.794127]",Mary and Jesus,False
3,64,3:64,The Great Commandment: You Shall Not Worship Except God*,50,38,"[170.0, 775.071, 1455.727, 831.639]","[0.1, 0.286215, 0.85631, 0.307105]",Invitation to All Believers,False
3,65,3:65,Abraham: The Founder of Islam*,50,38,"[480.0, 1185.158, 1146.004, 1240.294]","[0.282353, 0.437651, 0.67412, 0.458011]",,False
3,75,3:75,v You Shall Act Righteously With All The People,51,39,"[414.0, 1145.464, 1370.25, 1204.15]","[0.243529, 0.42268, 0.806029, 0.444336]",Be Honest With All People,False
3,81,3:81,Before Genesis*,52,40,"[651.0, 304.126, 978.0, 355.351]","[0.382941, 0.111976, 0.575294, 0.130836]",Major Prophecy Fulfilled* God's Messenger of the Covenant,False
3,84,3:84,Islam Preached By All Messengers,52,40,"[474.0, 1062.36, 1157.262, 1111.959]","[0.278824, 0.391149, 0.680742, 0.40941]",Make No Distinction Among God's Messengers,False
3,93,3:93,Unauthorized Prohibition of Foods Is Wickedness,53,41,"[417.0, 590.071, 1395.026, 646.639]","[0.245294, 0.217738, 0.820604, 0.238612]",Do Not Prohibit What Is Lawful,False
3,99,3:99,You Shall Be United,54,42,"[617.0, 729.296, 1082.753, 798.745]","[0.362941, 0.269312, 0.636914, 0.294957]",,False
3,116,3:116,Righteous Jews and Christians,55,43,"[539.0, 644.822, 1260.006, 693.812]","[0.317059, 0.23803, 0.74118, 0.256114]",,False
3,121,3:121,The Battle of Badr,55,43,"[717.0, 2108.603, 1091.008, 2159.199]","[0.421765, 0.77837, 0.641769, 0.797047]",The Battle of Badr,True
3,130,3:130,Usury Prohibited,56,44,"[653.0, 1181.083, 990.997, 1228.411]","[0.384118, 0.432631, 0.58294, 0.449968]",Usury Prohibited*,False
3,151,3:151,Time of Death Predetermined,57,45,"[599.0, 1072.603, 1189.0, 1123.199]","[0.352353, 0.39492, 0.699412, 0.413549]",God Controls Your Enemies,False
3,151,3:151,The Disbelievers Invariably Lose,57,45,"[574.0, 2016.822, 1214.993, 2065.812]","[0.337647, 0.742571, 0.714702, 0.760608]",God Controls Your Enemies,False
3,153,3:153,The Believers Never Defeatedj,58,46,"[529.0, 2058.603, 1155.013, 2109.199]","[0.311176, 0.758233, 0.67942, 0.776869]",,False
