pdf_page,printed_page,line_order,text,bbox,bbox_normalized
552,540,5,"Poor, 2:83, 177, 184, 215; 4:8. 36; 5:89,95; 8:41; 9:60; 17:26; 18:79; 24:22; 30:38;","[46.0, 349.564, 1538.732, 406.8]","[0.027059, 0.127952, 0.905137, 0.148902]"
552,540,6,59:7; 68:24; 69:34; 74:44; 89:18; 90;I6; 107:3.,"[46.0, 400.542, 1538.771, 454.608]","[0.027059, 0.146611, 0.905159, 0.166401]"
552,540,7,"Pork, 2:173; 5:3; 6:145; 16:115.","[46.0, 454.608, 1538.771, 508.673]","[0.027059, 0.166401, 0.905159, 0.186191]"
552,540,8,Prayer (see Salat).,"[46.0, 508.673, 1538.771, 562.739]","[0.027059, 0.186191, 0.905159, 0.205981]"
552,540,9,"Predestination, 57:22.","[46.0, 562.739, 1538.771, 616.804]","[0.027059, 0.205981, 0.905159, 0.22577]"
552,540,10,"Pregnancy, 2:228; 3:6; 13:8; 22:5; 31:34.","[46.0, 616.804, 1538.771, 670.87]","[0.027059, 0.22577, 0.905159, 0.24556]"
552,540,11,"Pride, 2:34; 4:172, 173; 6:93; 7:36, 40; 16:22, 23, 29; 25:21; 28:39, 74; 38:74;","[46.0, 670.87, 1538.771, 724.935]","[0.027059, 0.24556, 0.905159, 0.26535]"
552,540,12,39:59; 40:56; 41:38; 45:31; 46:20; 74:23.,"[44.0, 721.786, 1540.741, 774.889]","[0.025882, 0.264197, 0.906318, 0.283634]"
552,540,13,"Priests, 5:82; 6:138.","[44.0, 774.889, 1540.741, 827.992]","[0.025882, 0.283634, 0.906318, 0.303072]"
552,540,14,Prison (see Jail).,"[44.0, 827.992, 1540.741, 881.096]","[0.025882, 0.303072, 0.906318, 0.322509]"
552,540,15,"Privacy, 24:58, 59.","[44.0, 881.096, 1540.741, 934.199]","[0.025882, 0.322509, 0.906318, 0.341947]"
552,540,16,"Profanity, 4:148; 49:11.","[44.0, 934.199, 1540.741, 987.303]","[0.025882, 0.341947, 0.906318, 0.361385]"
552,540,17,"Promise. 2:268; 3:194; 4:95, 120; 5:9; 7:44; 9:68, 72, 114; 14:22; 16:97; 17:64;","[44.0, 987.303, 1540.741, 1040.406]","[0.025882, 0.361385, 0.906318, 0.380822]"
552,540,18,"19:61; 20:86, 124; 22:72; 24:55; 28:61; 33:22; 36:52; 40:8; 48:29; 57:10;","[44.0, 1040.406, 1540.741, 1093.51]","[0.025882, 0.380822, 0.906318, 0.40026]"
552,540,19,"65:3, 4.","[44.0, 1093.51, 1540.741, 1146.613]","[0.025882, 0.40026, 0.906318, 0.419697]"
552,540,20,Proof (see Appendix I).,"[44.0, 1146.613, 1540.741, 1199.717]","[0.025882, 0.419697, 0.906318, 0.439135]"
552,540,21,"Prophet, 3:39,68, 161; 6:112; 8:67; 9:117; 19:30,41,49,51-56; 22:52; 25:31; 33:6,","[44.0, 1199.717, 1540.741, 1252.82]","[0.025882, 0.439135, 0.906318, 0.458573]"
552,540,22,"28, 45, 56; 43:6; 49:2; 66:1 (see also Muhammad).","[44.0, 1252.82, 1540.741, 1305.924]","[0.025882, 0.458573, 0.906318, 0.47801]"
552,540,23,"Prostitution, 24:33.","[44.0, 1305.924, 1540.741, 1359.027]","[0.025882, 0.47801, 0.906318, 0.497448]"
552,540,24,"Psalms, 3:184; 4:163; 16:44; 17:55; 35:25; 54:43.","[44.0, 1359.027, 1540.741, 1412.131]","[0.025882, 0.497448, 0.906318, 0.516885]"
552,540,25,"Purgatory, 7:46-48.","[44.0, 1412.131, 1540.741, 1465.234]","[0.025882, 0.516885, 0.906318, 0.536323]"
552,540,26,"Quails, 2:57; 7:160; 20:80.","[44.0, 1465.234, 1540.741, 1518.338]","[0.025882, 0.536323, 0.906318, 0.55576]"
552,540,27,"Quake, 7:78, 91, 155; 22:1; 29:37; 73:14; 79:6; 99:1.","[44.0, 1518.338, 1540.741, 1571.441]","[0.025882, 0.55576, 0.906318, 0.575198]"
552,540,28,"Queen, of Sheba, 27:22; 34:15.","[44.0, 1571.441, 1540.741, 1624.544]","[0.025882, 0.575198, 0.906318, 0.594636]"
552,540,29,"Quran, 2:185; 4:82; 5:48, 101; 6:19, 38. 114; 7:204; 9:1 II; 10:15,37,61; 12:3;","[44.0, 1624.544, 1540.741, 1677.648]","[0.025882, 0.594636, 0.906318, 0.614073]"
