Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:00:25.606,00:00:27.596,"A woman: Well, that's what it says to me.",A woman,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:00:28.000,00:00:29.101,"Dr. Khalifa: No, no, no.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:00:29.101,00:00:31.000,A woman: (unintelligible),A woman,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:00:31.000,00:00:33.000,Dr. Khalifa: You mean you get an innocent woman and kill her?,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:00:33.000,00:00:40.000,"Iman: Well, when I, when I, I don't know, I asked about this several years ago and that's why (unintelligible)",Iman,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:00:40.000,00:00:44.000,"Dr. Khalifa: Okay, now the next verse, Iman, the next verse clarifies it.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:00:44.364,00:00:47.626,What we really see here is an excuse to save lives.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:00:48.758,00:00:51.990,"So, if a man kills a woman, the man should not be killed.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:00:53.000,00:00:56.242,"If a woman kills a man, the woman should not be killed.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:00:56.242,00:00:58.000,It's an excuse,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:00:58.000,00:01:01.242,"to spare lives, because the next verse says that this law shall be",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:01:01.242,00:01:04.293,"[2:179]  ... a life saving law for you, ...",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:01:04.757,00:01:12.232,"What this does, it sets the maximum, the maximum in case of murder, one soul for one soul.",Dr. Khalifa,,00:01:04.757,Sparing Lives Through Compensation
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:01:13.283,00:01:19.515,"What is happening now in many places is that one person is killed from a tribe,",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:01:19.515,00:01:27.000,so the whole tribe goes to the tribe of the murderer and they kill ten people instead of one.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:01:27.646,00:01:40.990,"So, this law here in the Quran puts a ceiling of one for one and goes further to spare lives in, in, in favor of compensation.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:01:42.646,00:01:51.404,"Because a compensation, now a compensation is the Islamic law throughout.",Dr. Khalifa,,00:01:42.646,The University Arsonist Anecdote
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:01:51.404,00:01:56.808,"For example, last year, they caught a girl who was burning buildings at the university.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:01:58.051,00:02:03.515,"Dr. Khalifa: She caused $200,000 worth of fires, six or seven fires, a arsonist.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:03.515,00:02:04.869,"Dr. Khalifa: You probably heard of that.
A man: Yeah.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:05.192,00:02:11.798,"Dr. Khalifa: Now, so they put the girl on trial and now they have the law here or the Islamic law.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:11.798,00:02:13.475,Let's compare the two of them.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:14.283,00:02:17.313,"The law here will say ""put her in jail"", in prison.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:18.000,00:02:24.717,"So, here's a young girl whose future is destroyed for some crazy thing she did and we put her in prison.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:25.242,00:02:32.000,"The Islamic, the Islamic law says, okay, you caused $200,000 damage to the University of Arizona,",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:32.000,00:02:34.000,so you have to pay this to the University of Arizona.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:34.323,00:02:37.242,"So, you're gonna, whatever you do in your life, whatever you work,",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:37.242,00:02:42.354,"you're gonna garnish your salary, a, a percentage, 10%, 20% until this is paid.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:43.889,00:02:46.202,"That's, that's the Islamic law, it's compensation.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:46.646,00:02:49.000,The same is in anything that happens.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:49.000,00:02:55.414,"Somebody hits your car, you can have them punished or they can compensate you.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:02:56.707,00:03:01.364,"Now, specifically as far as this law is concerned, I want you to note a couple of things.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:01.364,00:03:04.323,"First, it says,",Dr. Khalifa,,00:03:01.364,Victim Kin as the Judge
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:04.323,00:03:08.384,"[2:178]  ... However, if the guilty is pardoned by the victim's kin, ...",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:08.384,00:03:14.323,"By the way, in Islam, the judge is always the victim or the victim's kin.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:14.323,00:03:19.000,"If the victim is dead, obviously, then his, his kin for, of a judge.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:19.000,00:03:23.000,And they decide whether they want the murderer to be killed,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:23.000,00:03:32.354,"or to be spared and pay compensation to the, the victim's children or family or whatever.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:33.242,00:03:37.071,But what we have here is an excuse to spare lives.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:38.000,00:03:41.697,"If a free man kills a slave, you don't kill the free man.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:43.798,00:03:46.778,"Dr. Khalifa: If the slave kills the free man, you don't kill the slave.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:48.717,00:03:51.162,"Dr. Khalifa: In the same way.
A woman: (unintelligible) situation, where",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:51.162,00:03:55.263,A woman: free man (unintelligible) requires (unintelligible),A woman,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:03:55.263,00:04:00.000,"Dr. Khalifa: Right. And the Quran is in favor of sparing the life, in favor of compensation.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:01.515,00:04:03.343,And this is leniency from God.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:04.475,00:04:07.577,And we get the clue from the next verse that says this,Dr. Khalifa,,00:04:04.475,Quranic Context of Historical Slavery
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:07.577,00:04:08.971,[2:179]  ... is a life saving law ...,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:09.677,00:04:11.000,"So, we have here two things.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:11.000,00:04:11.798,"First, the maximum.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:11.798,00:04:15.101,"The maximum is set by one, one soul for one soul.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:16.758,00:04:18.000,That's the maximum.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:18.000,00:04:18.949,One for one.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:19.717,00:04:21.717,This is why equivalence comes in the picture.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:22.646,00:04:23.495,"And then the others,",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:23.495,00:04:26.505,"[2:178]  ... the free for the free, the slave for the slave, the woman for the woman. ...",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:26.505,00:04:29.778,is to provide an excuse for sparing lives.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:32.242,00:04:36.111,"So, if a slave kills his master, you don't kill the slave.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:37.000,00:04:40.000,"If the master kills the slave, you don't kill the master.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:40.646,00:04:44.242,"But if a slave kills a slave, then there is one for one.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:44.969,00:04:49.242,"If a free person kills a free person, because that was in the days when there was slavery.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:50.000,00:04:52.162,It was a fact of life until a hundred years ago.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:53.415,00:04:54.526,"So, thank God it's over.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:54.526,00:04:57.606,"But the Quran deals with all times, all periods.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:04:59.424,00:05:03.364,"And the, the idea is to seek excuses to spare lives.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:04.939,00:05:10.566,"You heard about the guy who was killed by, executed by lethal injection the other day.",Dr. Khalifa,,00:05:04.939,The Lethal Injection Mistake
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:10.566,00:05:14.485,"And the next day, the prosecutor who got the judgment against him said,",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:14.485,00:05:16.000,"Dr. Khalifa: ""you killed the wrong man.""",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:16.000,00:05:16.687,"A man: Yes.
A woman: Oh.",A man,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:16.687,00:05:18.394,"Dr. Khalifa: What, so, what can you do now?",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:19.000,00:05:20.000,"A man: (unintelligible)
Dr. Khalifa: I mean,...",A man,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:20.444,00:05:27.000,"A woman: (unintelligible)
Dr. Khalifa: Yeah.",A woman,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:27.000,00:05:30.000,Dr. Khalifa: And he's the prosecutor who got the judgment against that man.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:30.000,00:05:31.000,"So, what can you do now?",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:31.000,00:05:38.656,"So, what we see here, God's law is to look for excuses to spare the life.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:40.677,00:05:47.677,"Now, if a person is forced to pay compensation, and after ten years he's proven innocent,",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:47.677,00:05:50.000,"it's okay, you know, he's still alive.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:50.838,00:05:54.838,"But, like, can, this fellow who said ""you killed the wrong man"",",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:54.838,00:05:56.838,"Dr. Khalifa: now, what, what can you do now?",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:05:57.363,00:06:00.354,A woman: (unintelligible),A woman,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:00.354,00:06:00.899,Dr. Khalifa: Pardon?,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:00.899,00:06:03.465,A woman: (unintelligible),A woman,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:03.465,00:06:05.000,"Dr. Khalifa: Well, right, whoever does wrong.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:05.000,00:06:07.030,"Nobody gets away with anything, by the way.",Dr. Khalifa,,00:06:05.000,Injustice of Tribal Killings
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:08.364,00:06:20.576,"So, the, the killings that are going on even now in some tribal societies are quite unfair.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:21.020,00:06:25.404,And the Quran sought here to set a maximum.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:25.404,00:06:27.000,"Is it clear now, Iman?",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:27.000,00:06:30.434,"Dr. Khalifa: I remember you were disturbed about this, and I thought we have settled it.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:30.434,00:06:34.707,"Iman: Well, maybe, I must have misunderstood your explanation at the time.",Iman,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:34.707,00:06:36.000,Iman: (unintelligible),Iman,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:36.000,00:06:36.500,Dr. Khalifa: Yeah.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:37.162,00:06:40.162,"Iman: This makes much more sense, and this is why I (unintelligible).",Iman,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:40.162,00:06:43.323,Dr. Khalifa: I think we'll probably get to one example where a man kills a woman.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:43.323,00:06:45.323,"Then I told him, no, you don't kill the man.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:45.606,00:06:47.283,"That's unfair, isn't it?",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:47.647,00:06:49.424,But it applies both ways.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:51.283,00:06:53.444,"The woman kills the man, you don't kill the woman.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:06:57.283,00:06:59.151,"You, you ask for compensation.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:07:00.000,00:07:01.566,Dr. Khalifa: You have to go to compensation.,Dr. Khalifa,,00:07:00.000,Seeking Compensation From Aggressors
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:07:04.677,00:07:10.000,A man: Can the aggressor ask the victim for compensation?,A man,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:07:11.000,00:07:11.535,Dr. Khalifa: Pardon?,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:07:14.242,00:07:23.172,A man: Can the aggressor or the killer go on ask the victim's family and ask them for compensation?,A man,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:07:23.172,00:07:25.596,"Dr. Khalifa: No, it's the victim that asks for compensation.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:07:26.324,00:07:27.475,"A man: Oh, victim.",A man,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:07:27.475,00:07:28.444,A man: (unintelligible),A man,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:07:28.444,00:07:29.111,Dr. Khalifa: Yeah.,Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:07:29.515,00:07:31.515,"Dr. Khalifa: Rahima, Loreta.",Dr. Khalifa,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:07:31.515,00:07:37.717,Loreta: (unintelligible),Loreta,,,
67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=7wP_-BUP1Lg,00:07:37.717,00:07:40.485,"Dr. Khalifa: Right, well, that's, that's an Islamic law. Very good.",Dr. Khalifa,,,
