Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:30.000,00:04:31.793,"Dr. Khalifa: So, let us finish this program first.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:33.654,00:04:34.620,A man: We just...,A man,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:34.620,00:04:35.855,Dr. Khalifa: This is continuously happening.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:36.527,00:04:38.623,A man: It's a question of me taking control of myself.,A man,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:38.623,00:04:39.623,Dr. Khalifa: Exactly.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:41.433,00:04:42.654,Dr. Khalifa: Exactly.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:42.654,00:04:45.380,Dr. Khalifa: You can give up the control to your companion.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:45.380,00:04:46.900,"A woman: Yeah, that is (unintelligible).",A woman,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:46.900,00:04:47.900,Dr. Khalifa: Yes.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:49.089,00:04:50.828,Or you can take control of yourself.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:51.449,00:04:58.233,"The morning Prayer comes, and you want to do the morning Prayer, but your companion wants you to sleep.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:00.000,00:05:02.401,"So, see, choose who's the boss.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:03.900,00:05:06.303,And the companion will always be in favor of sleeping.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:07.510,00:05:08.717,Always.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:08.924,00:05:09.557,It's a fight.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:10.643,00:05:14.160,"So, so, pull your body out of bed and do the Prayer.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:18.296,00:05:20.000,Both of you lose when you sleep.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:20.499,00:05:25.934,"And this is why God tells us on the Day of Judgment, both, I mean, for the disbelievers,",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:25.934,00:05:27.598,they will fight with their companions.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:27.960,00:05:31.327,"""You made me sleep."" ""No, you're the one who didn't wanna get up.""",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:34.424,00:05:38.599,"On the other hand, for the believers, their companion will be very thankful.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:39.402,00:05:42.482,"Says ""thank you because you talked me into worshiping God alone.""",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:43.099,00:05:47.903,Because what you do is you convert Satan's ally into a believer.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:49.208,00:05:50.288,Your companion.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:51.180,00:05:54.575,Because we do convert our companions into believers.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:05:56.643,00:06:03.519,Your companion eventually will cooperate with you and will wake you up in the morning to Pray.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:04.727,00:06:06.742,Because he or she will want to Pray.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:09.649,00:06:12.033,We're coming to Surah 72 and we will see that.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:12.653,00:06:13.464,Dr. Khalifa: Apamea.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:13.464,00:06:15.050,Apamea: Azar is asking the question.,Apamea,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:15.877,00:06:19.169,(unintelligible),Apamea,38-1
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:15.877,00:06:19.169,Oh.,Azar,38-1
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:19.169,00:06:22.871,She's wanting to mention her name because Azar has three million questions.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:23.905,00:06:26.698,"She doesn't wanna ask them all, so distributes them to her friends.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:33.264,00:06:36.371,"Go ahead, Azar. It's Ok. I know you have three million questions.",Dr. Khalifa,38-2
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:33.264,00:06:36.371,"No, I don't have anything.",Azar,38-2
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:36.371,00:06:36.975,A woman: Go ahead.,A woman,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:36.975,00:06:38.458,A woman (Speaking Farsi): (unintelligible).,A woman,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:38.821,00:06:39.788,Dr. Khalifa: What did you say?,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:40.409,00:06:42.199,You don't have any questions?,Dr. Khalifa,38-3
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:40.409,00:06:42.199,No.,Azar,38-3
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:42.889,00:06:44.673,"You'll be a witness, Ismail.",Dr. Khalifa,38-4
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:42.889,00:06:44.673,"Not now, later.",Azar,38-4
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:06:46.626,00:06:49.673,"Dr. Khalifa: Okay, not right now. Apamea, what was the question?",Dr. Khalifa,
