Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:23.052,00:39:25.911,If that's along the same lines. But that's how I applied it.,Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:26.517,00:39:28.770,"Especially the part that ""God may make room for you.""",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:28.972,00:39:31.124,"I thought, I thought that was in terms of...",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:31.124,00:39:33.124,"Dr. Khalifa: Actually, it's happened now, literally in this room.",Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:33.124,00:39:36.589,"Behrouz, did you find a place to sit down?",Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:37.751,00:39:39.397,Did you ask somebody to move?,Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:40.256,00:39:42.104,Did you have to ask somebody to move?,Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:42.306,00:39:43.700,No.,Behrouz,25-10,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:42.306,00:39:43.700,Ok.,Dr. Khalifa,25-10,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:44.407,00:39:52.114,Dr. Khalifa: But it's possible he comes in and finds that there's nobody...There's no room. And He asks somebody to make room for him.,Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:52.619,00:39:55.479,You can take it literal or that it covers issues.,Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:55.883,00:39:58.691,"A man: Also, think of it as be considerate.",A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:58.691,00:40:00.691,Exactly.,Dr. Khalifa,25-11,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:39:58.691,00:40:00.691,Be kind to others.,A man,25-11,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:01.045,00:40:01.883,Dr. Khalifa: Exactly.,Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:02.489,00:40:04.489,Dr. Khalifa: Be considerate to others. It's a general principle.,Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:05.601,00:40:08.106,"Otherwise, if you're nice to the people, do unto others like...",Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:08.409,00:40:09.521,Robert: As you would have... Right.,Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:09.521,00:40:12.178,"God will be kind to you, like He is kind to others.",Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:13.246,00:40:13.892,Robert: Okay.,Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:13.892,00:40:16.104,"Dr. Khalifa: If you all come and say ""please, move..."" (unintelligible)",Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:17.821,00:40:19.821,Just make it considerate.,Dr. Khalifa,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:22.851,00:40:27.376,"Robert: [58:11]  ...GOD raises those among you who believe, and those who attain knowledge to higher ranks...",Robert,,58:11,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:28.808,00:40:29.808,Okay.,Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:29.808,00:40:31.808,"There again, God raises those among you.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:32.312,00:40:38.784,"In other words, God guides those among... God guides the believers and the people who attain knowledge, He brings them to higher ranks.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:38.784,00:40:40.986,A man: (unintelligible),A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:41.542,00:40:48.542,A man: But why (unintelligible) that they have a high level of righteousness.,A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:49.552,00:40:51.906,[58:11]  ... GOD is fully Cognizant of everything you do.,A man,,58:11,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:52.411,00:40:58.098,"There again, when you see that at the end of the verse, then you can apply some of the other things in terms of...",A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:40:58.098,00:41:01.411,He's fully Cognizant of all your actions in terms of...,A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:01.411,00:41:08.462,That's why every little thing as to letting a person sit down and being righteous in that manner,A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:08.462,00:41:13.240,is only seen as a benefit to you.,A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:13.846,00:41:15.492,It's seen as a plus.,A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:15.997,00:41:18.199,"Or as a credit, as we always say.",A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:19.765,00:41:24.947,"[58:12]  O you who believe, if you wish to confer with the messenger, you shall give away a charity before you confer with him...",A man,,58:12,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:24.947,00:41:32.401,"Okay, I saw this as being another means for... another situation where God allows us to give to charity.",A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:32.401,00:41:38.543,"Just another situation where He says ""if you have the money, before you confer with the messenger, give to charity.""",A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:38.543,00:41:43.472,"That's another situation where God is allowing us to, to grow, essentially. That's how I looked at it.",A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:43.674,00:41:48.199,"Because underneath that, He says ""if you don't have the money, God is Forgiver, Merciful.",A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:49.058,00:41:51.058,"So, that's...",A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:51.563,00:41:56.492,I looked at that as the situation where human beings tend to be greedy.,A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:41:56.492,00:42:00.967,And this is a way for us to give.,A man,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:42:00.967,00:42:02.967,Exactly. An excuse.,Dr. Khalifa,25-12,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:42:00.967,00:42:02.967,Right.,Robert,25-12,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:42:04.533,00:42:05.523,Robert: Ok.,Robert,,,
