verse_index,verse_id,english,chapter_number,verse_number
5853,1:1,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",188,1
5861,1:9,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,188,9
5872,2:2,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",189,2
5898,3:4,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters, so 2,000 cubits is about 920 meters.",190,4
5905,3:11,The word translated “Lord” is “Adonai.”,190,11
5907,3:13,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",190,13
5944,5:9,“Gilgal” sounds like the Hebrew for “roll.”,192,9
5998,7:21,A shekel is about 10 grams or about 0.35 ounces.,194,21
6047,9:9,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,196,9
6480,24:3,"or, seed",211,3
6509,24:32,Hebrew: kesitahs. A kesitah was a kind of silver coin.,211,32
6511,1:1,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",212,1
6512,1:2,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",212,2
6517,1:7,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,212,7
6551,2:5,“Bochim” means “weepers”.,213,5
6585,3:16,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",214,16
6593,3:24,"or, “relieving himself”.",214,24
6670,6:15,The word translated “Lord” is “Adonai.”,217,15
6674,6:19,1 ephah is about 22 liters or about 2/3 of a bushel,217,19
6679,6:24,"or, Shalom",217,24
6687,6:32,“Jerub-Baal” means “Let Baal contend”.,217,32
6746,8:26,"A shekel is about 10 grams or about 0.32 Troy ounces, so 1700 shekels is about 17 kilograms or 37.4 pounds.",219,26
6776,9:21,"“Beer” is Hebrew for “well”, i.e., a village named for its well.",220,21
6903,13:18,"or, wonderful",224,18
6947,15:17,“Ramath” means “hill” and “Lehi” means “jawbone”.,226,17
6986,17:5,teraphim were household idols that may have been associated with inheritance rights to the household property.,228,5
7008,18:14,teraphim were household idols that may have been associated with inheritance rights to the household property.,229,14
