pdf_page,printed_page,block_order,text,clean_text,bbox,bbox_normalized
740,725,13,"do not follow 2:168,208; 6:142;","do not follow 2:168,208; 6:142;","[338.39, 323.372, 464.95, 333.416]","[0.653389, 0.452459, 0.89776, 0.466512]"
740,725,13,24:21; 34:20,24:21; 34:20,"[338.39, 333.416, 464.95, 343.46]","[0.653389, 0.466512, 0.89776, 0.480565]"
740,725,13,feud 2:34; 7:11-24; 15:2643;,feud 2:34; 7:11-24; 15:2643;,"[338.39, 343.46, 464.95, 353.503]","[0.653389, 0.480565, 0.89776, 0.494618]"
740,725,13,17:61-5; 18:50; 20:116; 38:69-85,17:61-5; 18:50; 20:116; 38:69-85,"[338.39, 353.503, 464.95, 363.547]","[0.653389, 0.494618, 0.89776, 0.50867]"
740,725,13,"Saul 2:247,249","Saul 2:247,249","[338.39, 363.547, 464.95, 373.59]","[0.653389, 0.50867, 0.89776, 0.522723]"
740,725,13,Saved,Saved,"[338.39, 373.59, 464.95, 383.634]","[0.653389, 0.522723, 0.89776, 0.536776]"
740,725,14,deserving to be 7:165; 8:42; 19:72;,deserving to be 7:165; 8:42; 19:72;,"[338.649, 385.101, 480.09, 394.938]","[0.653889, 0.538829, 0.926994, 0.552593]"
740,725,14,"20:80; 21:9; 26:89; 37:74,128,160:","20:80; 21:9; 26:89; 37:74,128,160:","[338.649, 394.938, 480.09, 404.775]","[0.653889, 0.552593, 0.926994, 0.566357]"
740,725,14,39:61; 41:18,39:61; 41:18,"[338.649, 404.775, 480.09, 414.612]","[0.653889, 0.566357, 0.926994, 0.580121]"
740,725,14,"His messengers 2:50;7:64,83; 10:73,","His messengers 2:50;7:64,83; 10:73,","[338.649, 414.612, 480.09, 424.449]","[0.653889, 0.580121, 0.926994, 0.593885]"
740,725,14,"103; 11:58,66,94; 15:59; 21:71,74,76,","103; 11:58,66,94; 15:59; 21:71,74,76,","[338.649, 424.449, 480.09, 434.287]","[0.653889, 0.593885, 0.926994, 0.607649]"
740,725,14,"88; 26:119,170; 27:53,57; 29:24;","88; 26:119,170; 27:53,57; 29:24;","[338.649, 434.287, 480.09, 444.124]","[0.653889, 0.607649, 0.926994, 0.621413]"
740,725,14,"37:76,134; 54:34","37:76,134; 54:34","[338.649, 444.124, 480.09, 453.961]","[0.653889, 0.621413, 0.926994, 0.635177]"
740,725,14,Scales 21:47; 26:182,Scales 21:47; 26:182,"[338.649, 453.961, 480.09, 463.798]","[0.653889, 0.635177, 0.926994, 0.648941]"
740,725,14,Schemes,Schemes,"[338.649, 463.798, 480.09, 473.635]","[0.653889, 0.648941, 0.926994, 0.662705]"
740,725,15,evil 2:102; 6:1234; 10:21; 11:55;,evil 2:102; 6:1234; 10:21; 11:55;,"[338.74, 475.101, 477.69, 485.063]","[0.654065, 0.664756, 0.922359, 0.678695]"
740,725,15,"12:52; 13:33; 14:46; 16:127;27:51,70;","12:52; 13:33; 14:46; 16:127;27:51,70;","[338.74, 485.063, 477.69, 495.025]","[0.654065, 0.678695, 0.922359, 0.692633]"
